Hold,Type
A1,Small Crimp
A2,Small Crimp
A3,Small Crimp
A4,Small Crimp
A5,Large Crimp
A6,Small Crimp
A7,Small Crimp
A8,Small Crimp
A9,Medium Pinch
A10,Small Crimp
A11,Small Crimp
A12,Large Crimp
A13,Small Crimp
A14,Large Crimp
A15,Small Pocket
A16,Small Crimp
A17,Small Crimp
A18,Jug
B1,Small Crimp
B2,Small Crimp
B3,Jug
B4,Small Crimp
B5,Small Crimp
B6,Small Pocket
B7,Small Crimp
B8,Medium Crimp
B9,Large Crimp
B10,Pocket
B11,Medium Crimp
B12,Small Crimp
B13,Large Crimp
B14,Small Crimp
B15,Small Crimp
B16,Medium Crimp
B17,Small Crimp
B18,Pocket
C1,Small Crimp
C2,Small Crimp
C3,Small Crimp
C4,Small Crimp
C5,Large Crimp
C6,Small Pocket
C7,Small Pinch
C8,Slopy Pinch
C9,Small Crimp
C10,Small Pinch
C11,Pocket
C12,Small Crimp
C13,Large Pinch
C14,Medium Crimp
C15,Small Crimp
C16,Small Pocket
C17,Small Crimp
C18,Medium Crimp
D1,Small Crimp
D2,Small Crimp
D3,Small Crimp
D4,Small Crimp
D5,Small Pocket
D6,Small Crimp
D7,Pocket
D8,Small Crimp
D9,Small Crimp
D10,Medium Crimp
D11,Medium Pinch
D12,Large Crimp
D13,Small Crimp
D14,Small Pocket
D15,Medium Pinch
D16,Small Crimp
D17,Medium Crimp
D18,Jug
E1,Small Crimp
E2,Small Crimp
E3,Small Crimp
E4,Small Crimp
E5,Small Crimp
E6,Large Crimp
E7,Small Pinch
E8,Medium Crimp
E9,Small Pinch
E10,Medium Crimp
E11,Medium Crimp
E12,Small Pinch
E13,Large Crimp
E14,Small Pinch
E15,Small Crimp
E16,Small Crimp
E17,Small Crimp
E18,Jug
F1,Small Crimp
F2,Small Crimp
F3,Small Crimp
F4,Small Crimp
F5,Jug
F6,Small Crimp
F7,Small Crimp
F8,Small Crimp
F9,Small Crimp
F10,Slopy Pinch
F11,Medium Pinch
F12,Small Crimp
F13,Small Crimp
F14,Medium Crimp
F15,Small Crimp
F16,Small Pocket
F17,Small Crimp
F18,Small Crimp
G1,Small Crimp
G2,Small Crimp
G3,Small Crimp
G4,Jug
G5,Small Crimp
G6,Jug
G7,Small Crimp
G8,Large Crimp
G9,Large Crimp
G10,Pocket
G11,Small Crimp
G12,Small Crimp
G13,Large Crimp
G14,Large Crimp
G15,Small Crimp
G16,Small Crimp
G17,Medium Crimp
G18,Large Crimp
H1,Small Crimp
H2,Small Crimp
H3,Small Crimp
H4,Small Crimp
H5,Medium Crimp
H6,Small Crimp
H7,Small Crimp
H8,Medium Pinch
H9,Small Crimp
H10,Jug
H11,Medium Crimp
H12,Medium Crimp
H13,Small Pocket
H14,Medium Crimp
H15,Small Crimp
H16,Small Crimp
H17,Small Crimp
H18,Small Crimp
I1,Small Crimp
I2,Small Crimp
I3,Small Crimp
I4,Jug
I5,Large Crimp
I6,Medium Crimp
I7,Large Crimp
I8,Small Crimp
I9,Medium Crimp
I10,Medium Crimp
I11,Medium Crimp
I12,Small Crimp
I13,Medium Pinch
I14,Large Pinch
I15,Medium Crimp
I16,Jug
I17,Small Crimp
I18,Jug
J1,Small Crimp
J2,Small Crimp
J3,Small Crimp
J4,Small Crimp
J5,Large Pinch
J6,Small Pocket
J7,Medium Crimp
J8,Large Crimp
J9,Large Crimp
J10,Small Pinch
J11,Small Crimp
J12,Small Crimp
J13,Medium Crimp
J14,Small Crimp
J15,Small Crimp
J16,Slopy Pinch
J17,Small Crimp
J18,Small Crimp
K1,Small Crimp
K2,Small Crimp
K3,Small Crimp
K4,Small Crimp
K5,Jug
K6,Small Crimp
K7,Small Crimp
K8,Small Crimp
K9,Medium Crimp
K10,Small Crimp
K11,Large Crimp
K12,Small Crimp
K13,Small Crimp
K14,Sloper
K15,Small Crimp
K16,Small Crimp
K17,Small Crimp
K18,Small Crimp
